,tweet_id,date,time,lang,country_code
721,1356106265575915522,2021-02-01,05:05:03,en,
725,1356106272823779329,2021-02-01,05:05:05,en,
727,1356106275050778625,2021-02-01,05:05:05,en,
728,1356106275763830785,2021-02-01,05:05:06,en,
729,1356106279173976064,2021-02-01,05:05:06,en,
730,1356106280201543680,2021-02-01,05:05:07,en,
732,1356106283682848768,2021-02-01,05:05:07,en,
734,1356106289563258882,2021-02-01,05:05:09,en,
735,1356106289663913984,2021-02-01,05:05:09,en,
736,1356106294067933186,2021-02-01,05:05:10,en,
737,1356106294462046213,2021-02-01,05:05:10,en,
741,1356106301181288448,2021-02-01,05:05:12,en,
742,1356106301458276355,2021-02-01,05:05:12,en,
745,1356106308122890240,2021-02-01,05:05:13,en,
746,1356106308450217986,2021-02-01,05:05:13,en,
748,1356106314309636102,2021-02-01,05:05:15,en,
749,1356106315462938630,2021-02-01,05:05:15,en,
755,1356106328255705088,2021-02-01,05:05:18,en,
757,1356106329312649220,2021-02-01,05:05:18,en,
758,1356106329715339264,2021-02-01,05:05:18,en,
759,1356106330147196929,2021-02-01,05:05:19,en,
760,1356106331409817605,2021-02-01,05:05:19,en,
761,1356106331414032385,2021-02-01,05:05:19,en,
762,1356106333293072384,2021-02-01,05:05:19,en,
763,1356106334018686982,2021-02-01,05:05:19,en,
765,1356106337642369025,2021-02-01,05:05:20,en,
766,1356106338389151751,2021-02-01,05:05:20,en,
767,1356106344248602625,2021-02-01,05:05:22,en,
769,1356106345062260739,2021-02-01,05:05:22,en,
770,1356106348178661378,2021-02-01,05:05:23,en,
772,1356106348715507713,2021-02-01,05:05:23,en,
773,1356106356248473600,2021-02-01,05:05:25,en,
775,1356106357380886529,2021-02-01,05:05:25,en,
776,1356106358194544640,2021-02-01,05:05:25,en,
779,1356106362497818625,2021-02-01,05:05:26,en,
780,1356106362887892997,2021-02-01,05:05:26,en,
781,1356106365152989185,2021-02-01,05:05:27,en,
782,1356106365572419584,2021-02-01,05:05:27,en,
784,1356106370362322946,2021-02-01,05:05:28,en,
787,1356106374153990145,2021-02-01,05:05:29,en,
789,1356106376657956865,2021-02-01,05:05:30,en,
791,1356106381288464386,2021-02-01,05:05:31,en,
792,1356106383096049664,2021-02-01,05:05:31,en,
793,1356106384643915776,2021-02-01,05:05:31,en,
795,1356106388729163777,2021-02-01,05:05:32,en,
796,1356106388892758017,2021-02-01,05:05:33,en,
797,1356106390113189889,2021-02-01,05:05:33,en,
798,1356106390327201792,2021-02-01,05:05:33,en,
800,1356106393393233922,2021-02-01,05:05:34,en,
801,1356106396182302720,2021-02-01,05:05:34,en,
802,1356106402306125826,2021-02-01,05:05:36,en,
804,1356106402998218752,2021-02-01,05:05:36,en,
805,1356106407058104326,2021-02-01,05:05:37,en,
806,1356106410786836485,2021-02-01,05:05:38,en,
813,1356106431989116928,2021-02-01,05:05:43,en,
815,1356106441313148929,2021-02-01,05:05:45,en,
816,1356106443406016518,2021-02-01,05:05:46,en,
819,1356106445364707328,2021-02-01,05:05:46,en,
822,1356106449756303361,2021-02-01,05:05:47,en,
824,1356106455808684034,2021-02-01,05:05:48,en,
826,1356106457075372035,2021-02-01,05:05:49,en,
828,1356106457951907842,2021-02-01,05:05:49,en,
829,1356106458631290882,2021-02-01,05:05:49,en,
830,1356106459306729472,2021-02-01,05:05:49,en,
832,1356106460342587393,2021-02-01,05:05:50,en,
833,1356106463853207554,2021-02-01,05:05:50,en,
834,1356106468454518784,2021-02-01,05:05:51,en,
838,1356106478340493313,2021-02-01,05:05:54,en,
841,1356106482513629185,2021-02-01,05:05:55,en,
842,1356106483226710020,2021-02-01,05:05:55,en,
845,1356106489216311298,2021-02-01,05:05:56,en,
846,1356106491263143936,2021-02-01,05:05:57,en,
849,1356106494027026433,2021-02-01,05:05:58,en,
851,1356106495058968579,2021-02-01,05:05:58,en,
852,1356106496459739137,2021-02-01,05:05:58,en,
855,1356106501358804992,2021-02-01,05:05:59,en,
857,1356106502998786050,2021-02-01,05:06:00,en,
860,1356106504236126212,2021-02-01,05:06:00,en,
861,1356106505943019521,2021-02-01,05:06:00,en,
865,1356106509000826885,2021-02-01,05:06:01,en,
868,1356106512670683138,2021-02-01,05:06:02,en,
870,1356106513341849604,2021-02-01,05:06:02,en,
873,1356106514017054722,2021-02-01,05:06:02,en,
